$CUREVAM.1000,"Error -- 1000 called"
O0A0AL00.1030,"Voleur ! Je vais vous apprendre à voler
un sorcier. Ce sera une leçon que vous
n'oublierez pas de si tôt !
<--->
"
O0B00Y00.1000,"Ecoutez, %pcf, un des
nôtres a des problèmes.
Avez-vous quelques jours de
libres pour l'aider ?
"
O0B00Y00.1001,"Très bien. Dans ce cas, je suppose
que vous ne comptez pas non plus sur
nous pour vous aider plus tard.
"
O0B00Y00.1002,"Bon %ra. Un de nos meilleurs
cambrioleurs à ___contact_
est pris au piège dans un taudis à __contact_.
Sur sa personne est la pierre précieuse qu'%g
a volée au palace. Maintenant, il paraît que
quelqu'un a vu la pierre sur %g2, et les gardes fouillent
l'endroit. Par respect envers le propriétaire
de __contact_, ils attendent =1stparton_ jours
avant de d'attaquer.
Rendez-vous à __contact_ et donnez à
_contact_ ce morceau de _metal_ en
échange du _gems_, que vous rapporterez ensuite ici.
C'est compris ? Bien. Maintenant, faites vite,
y a pas de temps à perdre.
"
O0B00Y00.1003,"Ca fait du bien de vous voir, %pcf,
mais vous n'étiez pas supposé avoir
les mains vides. Vous étiez supposé
avoir un _gems_, vous vous rappelez ?
"
O0B00Y00.1004,"Bon boulot, %pcf. J'ai entendu dire que
_contact_ a montré aux gardes le
morceau de _metal_ qu'ils pensaient
être un _gems_, et ils lui ont payé
un verre pour s'excuser. Je vous le dis,
il n'y a pas de vie semblable à celle d'un
gredin. Voilà votre part du _gems_,
_reward_ pièces d'or. Vous l'avez bien méritée,
 %pcf.
"
O0B00Y00.1005,"Bien, tout le monde sait que _contact_ a volé le joyau. Pourquoi ne l'arrêtent-ils pas ?
<--->
Il y a beaucoup de snobs à __contact_. Les gardes sont indésirables là-bas."
O0B00Y00.1006,"Finalement les gardes ont eu _contact_. C'est sûr qu'%g ne pouvait leur échapper éternellement.
<--->
Ouais, ils ont trouvé le _gems_ de %t et arrêté ce =contact_ aussi."
O0B00Y00.1007,"Ils ont dû laisser partir _contact_ finalement. Il s'est avéré qu'%g était innocent.
<--->
Allons, comment confondre du _metal_ avec un _gems_ ? Ce sont deux roches, mais quand même !"
O0B00Y00.1008,"Qu'y a-t-il, %pcf ? Vous voulez ce _gems_ ? Je parie que c'est ça !"
O0B00Y00.1009,"Ne vous rappelez-vous pas que vous
étiez supposé obtenir ce _gems_ de
_contact_, et lui donner le
_metal_ que je vous avais donné ?
%oth ! On pourrait presque
penser que c'était difficile !
"
O0B00Y00.1010,"%oth, %pcf, vous êtes un sauveur.
Il s'avère que quelqu'un m'a vu avec un
_gems_ et ils ont deviné que c'était la gemme
volée. Ce bout de _metal_ sera mon
ticket de sortie. Rappelez-moi de vous payer
un verre un jour. Maintenant, retournez vite
chez _questgiver_.
Ils risquent d'être très suspicieux si vous
n'êtes pas rentré avant =1stparton_ jours.
"
O0B00Y00.1015,"%qdt :
 _questgiver_ de la Guilde des
 Voleurs de ___questgiver_
 m'a envoyé vers ___contact_
 dans un bouge appelé __contact_.
 J'ai du _metal_ que je suis
 sensé donner à _contact_
 en échange de la pierre volée avec
 laquelle %g a été vu. J'ai =1stparton_ jours
 pour mener cette quête à bien.
"
O0B00Y00.1020,"Je sais de source sûre que vous
avez le _gems_ que
ce _contact_ a volée.
Lâchez-le et je ne vous
ferai aucun mal.
<--->
"
O0B00Y01.1000,"Bien, %pcf, c'est une tâche assez
simple. Une parmi de celles qui ne
devraient pas vous poser de problème. Tout ce
que vous avez à faire est d'amener cette _weapons_
à notre agent à ___contact_, prendre
le paiement et le rapporter le ici. Pensez-vous
en être capable, %pcf ?
"
O0B00Y01.1001,"Non ? Quel travail plus simple pourrions-nous
vous confier ? Ne pas bouger pendant que
je vous gifle avec des anguilles ? Hé, ce pourrait
ne pas être une si mauvaise idée !
%oth, quel gâchis.
"
O0B00Y01.1002,"Ok alors, votre contact est un =contact_,
c'est ce à quoi vous devez vous attendre. Il est
sensé traîner autour d'un endroit qu'on appelle
__contact_ à ___contact_.
Maintenant, _contact_ a chopé
un butin là-bas à ___contact_ et
veut que vous nous le rameniez. Si vous
pensez en être capable, nous attendrons
votre retour d'ici =1stparton_ jours sans faute.
Très bien, alors. Allez.
"
O0B00Y01.1003,"Ouais, vous êtes de retour, mais où
est le pactole de _contact_ ?
Vous ne penseriez pas à jouer aux
plus fins avec nous, hein, %pcf ?
Car si c'est le cas, réfléchissez-y encore.
"
O0B00Y01.1004,"Oh, c'est un beau _gems_.
_contact_ vous a donné ça ?
%oth, %g doit faire du bon boulot
là-bas à ___contact_.
Bon travail, %pcf. Voilà
_reward_ pièces d'or pour votre dérangement.
"
O0B00Y01.1005,"Tels des faucons, les gardes de la ville surveillent tous ceux qui ont des armes ces jours-ci.
<--->
Le %t a apparemment peur d'un assassinat. Les gardes sont nombreux dehors."
O0B00Y01.1006,"Ils ont arrêté un =contact_. Apparemment, %g était un trafiquant d'armes.
<--->
La Guilde des Voleurs n'est pas si forte. Un des leurs a été arrêté à __contact_."
O0B00Y01.1007,"J'ai entendu dire qu'ils faisaient venir de la contrebande de _weapons_s. Ils ont un sacré culot.
<--->
Le %t était paranoiaque à propos de la contrebande de la Guilde des Voleurs, mais %g est en sécurité maintenant."
O0B00Y01.1008,"Ouais, tu veux quoi, %pcf ? Le _gems_, peut-être ?"
O0B00Y01.1009,"Si vous n'avez rien de la part de _contact_,
je n'ai pas envie de vous parler, %pcf.
"
O0B00Y01.1010,"Bien joué, %pcf. Je n'aurais pas pu le faire
aussi facilement ici en portant cette _weapons_.
Voici un échantillon de ce que j'ai volé...
Un _gems_.
Rapportez-le à _questgiver_ et
dites-lui que je vais bien. Merci encore,
%pcf. A la prochaine.
"
O0B00Y01.1020,"Halte au nom de %nrn !
Je sais que vous faites de la contrebande
d'armes. Rendez-vous ou assumez-en
les conséquences.
"
O0B00Y01.1021,"J'ai entendu dire que vous faisiez de la
contrebande de _weapons_s pour la Guilde
des Voleurs. Donnez-les moi et
j'épargnerai votre vie.
"
O0B00Y01.1022,"Nous voulons ces _weapons_s.
Rendez-les nous et nous ne vous
brutaliserons pas trop.
"
O0B00Y01.1023,"Maintenant dégagez, avant de
vous prendre des coups.
"
O0B00Y01.1030,"%qdt :
 _questgiver_ de la Guilde des Voleurs
 à ___questgiver_ m'a demandé de
 livrer ce _weapons_ à _contact_
 de __contact_ en ___contact_,
 qui me donnera alors un butin à rapporter.
 J'ai =1stparton_ jours pour remplir ma mission.
<--->
"
O0B10Y00.1000,"Ecoutez, %pcf, quelqu'un de
notre ""famille"" a des problèmes.
Avez-vous quelques jours de libre
pour l'aider ?
"
O0B10Y00.1001,"Très bien. J'espère que
vous ne comptez pas sur notre
aide un de ces jours ?
"
O0B10Y00.1002,"Bon %ra. Un de nos meilleurs
cambrioleurs de ___contact_
est pris au piège à __contact_.
%g transporte la pierre précieuse
qu%g a volée au palais, mais
il semble que quelqu'un l'ait vu
avec cette pierre, alors les gardes
veulent fouiller l'endroit.
Sans aucun égard envers le propriétaire de
__contact_, ils attendent =1stparton_ jours,
puis ils fouilleront les lieux.
Rendez-vous à __contact_
et donnez à _contact_
ce morceau de _metal_ en échange du
_gems_, qu'ensuite vous rapporterez ici.
C'est compris ? Bien. Maintenant, faites vite,
y a pas de temps à perdre.
"
O0B10Y00.1003,"Ca fait du bien de vous voir, %pcf,
mais vous n'étiez pas supposé avoir
les mains vides. Vous étiez supposé
avoir un _gems_, vous vous rappelez ?
"
O0B10Y00.1004,"Bon boulot, %pcf. J'ai entendu dire que
_contact_ a montré aux gardes le
morceau de _metal_ qu'ils croyaient
être un _gems_, et ils lui ont payé
un verre pour s'excuser. Je vous le dis,
il n'y a pas de vie semblable à celle d'un
gredin. Voilà votre part du _gems_,
_reward_ pièces d'or. Vous l'avez
méritée, %pcf.
"
O0B10Y00.1005,"Bien, tout le monde sait que _contact_ a volé le joyau. Pourquoi ne l'arrêtent-ils pas ?
<--->
Il y a beaucoup de snobs à __contact_. Les gardes ne sont pas admis là-bas."
O0B10Y00.1006,"Finalement, les gardes ont arrêté _contact_. C'est sûr qu'%g ne pouvait les retenir éternellement.
<--->
Ouais, ils ont trouvé le _gems_ de %t et arrêté ce =contact_ aussi."
O0B10Y00.1007,"Ils ont dû laisser partir _contact_ après tout. Il s'est avéré qu'%g était innocent.
<--->
Allons, comment confondre du _metal_ avec un _gems_ ? Ce sont deux pierres, mais quand même !"
O0B10Y00.1008,"Qu'y a-t-il, %pcf ? Vous voulez ce _gems_ ? Je parie que c'est ça !"
O0B10Y00.1009,"Ne vous rappelez-vous pas que vous
étiez supposé obtenir ce _gems_ de
_contact_, et lui donner le
_metal_ que je vous avais donné ?
%oth ! Vous pourrait presque
croire que c'était difficile.
"
O0B10Y00.1010,"%oth, %pcf, vous êtes un sauveur.
Il s'avère que quelqu'un m'a vu avec un
_gems_ et ils ont deviné que c'était la gemme
volée. Ce bout de _metal_ sera mon
ticket de sortie. Rappelez-moi de vous payer
un verre un jour. Maintenant, retournez vite
chez _questgiver_.
Ils risquent d'être très suspicieux si vous n'êtes
pas rentré avant =1stparton_ jours.
"
O0B10Y00.1015,"%qdt :
 _questgiver_ de
 la Guilde des Voleurs de ___questgiver_
 m'a envoyé vers ___contact_
 dans un bouge appelé __contact_.
 J'ai un _metal_ que je suis
 sensé donner à _contact_
 en échange de la pierre volée qu'on
 a vue sur %g. J'ai =1stparton_ jours
 jours pour mener cette quête à bien.
"
O0B10Y00.1020,"On m'a informé que vous
aviez le _gems_ que ce
_contact_ a volée.
Rendez-le et je ne
vous ferai aucun mal.
<--->
"
O0B10Y03.1000,"J'ai un boulot pour toi, si
ça t'intéresse. Mon nom est
_qgiver_. Un gars veut qu'un
_religiousitem_ soit dérobé
à _temple_.
Tu t'en charges ?
"
O0B10Y03.1001,"Je m'en souviendrai %pcn
si un travail plus intéressant
est disponible.
"
O0B10Y03.1002,"OK. Voilà le plan.
Tu vas à _temple_ dans
__temple_. Prends le
_religiousitem_ et rapporte-le
moi. Tu auras la récompense
habituelle de la guilde, de
_gold_ pièces d'or. Tu as =traveltime_ jours
pour le mettre entre mes mains.
"
O0B10Y03.1004,"Gamin, certains sont difficiles à
comprendre. Peux-tu croire qu'il
a payé pour qu'on le lui dérobe ?
Ce n'est pas comme s'il y avait un ""terrible
gardien"" l'empêchant de le faire lui-même.
Hein ? Il y en avait un ! Peut-être qu'il
n'était pas si cinglé, après tout.
Voilà ta récompense, %pcf.
C'est bien de bosser avec toi.
"
O0B10Y03.1005,"J'ai eu un furoncle l'autre jour... mais c'est guéri.
<--->
Je viens d'avoir une discussion de trois heures sur le temps.
<--->
Le temps est assez habituel pour cette époque de l'année.
<--->
Cela semble un peu frais à %cn pour cette période de l'année.
<--->
Il fait vraiment beaucoup plus chaud aujourd'hui que l'année derrière à la même période.
<--->
Ma grande-tante va voir un spécialiste de l'autre côté de la Baie.
<--->
L'heure à laquelle il commence à faire nuit par ici est vraiment bizarre.
<--->
Nous devrions ériger une statue de guerre par ici.
<--->
Ces gosses d'aujourd'hui avec leur magie. %oth, je ne sais pas.
<--->
J'ai fait un rêve très étrange la nuit dernière.
<--->
J'ai entendu une bonne blague. %jok
<--->
%jok. En fait, c'est une plaisanterie.
<--->
%jok. Pouvez-vous me l'expliquer ?
<--->
Le système judiciaire de %reg a ses bons et ses mauvais côtés."
O0B10Y03.1006,"_temple_ est plutôt bien protègé contre les voleurs, on dirait."
O0B10Y03.1007,"Le gars qui possède _temple_ a payé des voleurs pour s'introduire dans sa propre propriété."
O0B10Y03.1008,"Comment vas-tu, %pcf ? J'attends encore des nouvelles du gars qui a fait appel à nos services."
O0B10Y03.1009,"Je ne ferais aucune difference si ce
temple avait été gardé par le Seigneur de
Tout Oblivion en personne, %pcf.
Il n'y a aucune excuse pour échouer à
une mission de la Guilde des Voleurs.
"
O0B10Y03.1010,"%qdt :
 _qgiver_ de ___qgiver_
 de la Guilde des Voleurs m'a demandé
 de dérober un _religiousitem_
 à _temple_ dans __temple_.
 J'ai =traveltime_ jours pour le lui ramener
 et avoir ma récompense.
<--->
"
O0B10Y05.1000,"Oh voilà %pcf ! Vous vous
souvenez de moi, _qgiver_ ?
Vous vous sentez capable d'une mission
aujourd'hui ? J'en ai justement une
qui vous conviendrait parfaitement.
"
O0B10Y05.1001,"Peut-être une autre fois.
"
O0B10Y05.1002,"Ce gars riche vient tout juste d'avoir
une peinture qui pourrait rapporter un
bon prix. Il l'a planquée à _townhouse_
dans __townhouse_.
Ramenez-là et vous aurez une
récompense de  _gold_ pièces d'or.
Ah oui, il me la faut en moins de =traveltime_ jours.
"
O0B10Y05.1004,"C'était pas facile de la récupérer. Désolé
pour le gardien. Nous ne savions pas
qu'il en avait engagé un.
Voici votre paie.
"
O0B10Y05.1005,"_townhouse_ est une véritable galerie d'art."
O0B10Y05.1006,"J'ai eu un furoncle l'autre jour... mais c'est guéri.
<--->
Je viens d'avoir une discussion de trois heures sur le temps.
<--->
Le temps est assez habituel pour cette époque de l'année.
<--->
Cela semble un peu frais à %cn pour cette période de l'année.
<--->
Il fait vraiment beaucoup plus chaud aujourd'hui que l'année derrière à la même période.
<--->
Ma grande-tante va voir un spécialiste de l'autre côté de la Baie.
<--->
L'heure à laquelle il commence à faire nuit par ici est vraiment bizarre.
<--->
Nous devrions eriger un monument aux morts par ici.
<--->
Ces gosses d'aujourd'hui, avec leur magie... %oth, je ne sais pas.
<--->
J'ai fait un rêve très étrange la nuit dernière.
<--->
J'ai entendu une bonne blague. %jok
<--->
%jok. En fait, c'est une plaisanterie.
<--->
%jok. Pouvez-vous m'expliquer celle-là ?
<--->
Le système judiciaire de %reg a ses bons et ses mauvais côtés."
O0B10Y05.1007,"_townhouse_ a été volé, bien qu'il ait un puissant gardien.
<--->
Celui qui a volé _townhouse_ savait ce qu'il faisait."
O0B10Y05.1008,"On a tiré un bon prix de cette peinture au marché noir, %pcf."
O0B10Y05.1009,"Bien, je vous vois, mais je ne vois
pas la peinture que vous étiez
supposé ramener. Pourquoi ai-je
donc gâché ma salive à vous parler ?
"
O0B10Y05.1010,"%qdt :
 _qgiver_ m'a envoyé voler
 une peinture à _townhouse_
 dans __townhouse_. J'ai =traveltime_ jours
 pour la ramener à _qgiver_ a
 __qgiver_ dans ___qgiver_.
<--->
"
O0B10Y06.1000,"Voici quek' chose pour vous.
Un casse de bijouterie à faire.
Vous voulez vous en charger ?
Paie standard de la guilde,
_gold_ pièces d'or.
"
O0B10Y06.1001,"A plus. J'dois trouver un membre
de la guilde qui veut ce boulot.
"
O0B10Y06.1002,"%oth, sacrément génial.
Allez à _mansion_
dans __mansion_.
Trouvez le _jewelry_ et ramenez-le
ici. Gardez un oeil ouvert. Il paraît
qu'il y a une sorte de gardien
dans le dépôt.
"
O0B10Y06.1004,"Bon travail %pcn.
Voici votre récompense de la guilde.
"
O0B10Y06.1005,"Ils disent que _mansion_ est impénétrable."
O0B10Y06.1006,"Quelqu'un a essayé de s'introduire dans _mansion_, mais il n'a pas réussi."
O0B10Y06.1007,"_mansion_ a été cambriolé. Cela semble inimaginable.
<--->
Si même _mansion_ peut être cambriolé, alors aucun endroit n'est sûr."
O0B10Y06.1008,"Comment allez-vous, %pcf ? Vous n'avez pas déjà dépensé les _gold_ pièces d'or, quand même ?"
O0B10Y06.1009,"%oth, c'est vous. Le propriétaire de
_mansion_ a déjà mis le
_jewelry_ autre part, donc toute l'affaire
tombe à l'eau. Merci beaucoup pour
ce soit-disant admirable travail.
"
O0B10Y06.1010,"%qdt :
 _qgiver_ de ___qgiver_
 m'a demandé de dérober le _jewelry_
 à _mansion_
 à ___mansion_. Je n'ai que
 =traveltime_ jours pour le lui ramener.
<--->
"
O0B10Y07.1000,"Nous avons gardé un oeil sur toi
%pcf. Ne cherche pas à savoir qui
""nous"" sommes. Tu es un nouveau
membre de cette guilde. Si tu acceptes
de faire un travail spécial pour nous, sans
paiement, nous pourrions t'en être
redevables à l'avenir. Qu'en dis-tu ?
"
O0B10Y07.1001,"Surveille tes arrières,
sale petit renégat !
"
O0B10Y07.1002,"Ton assignation est très simple.
Le %rt de __palace_
a récemment ""acheté"" un _jewelry_
façonné suffisamment convenablement
pour qu'il suscite notre intérêt.
T'as précisement =2palace_ jours pour trouver
ton chemin à l'intérieur du palais, décamper
avec la babiole dont on parle, et revenir ici.
Pas impossible pour un véritable membre
de la Guilde des Voleurs. Alors, qu'est-ce tu
attends, %pcf ? Allez !
"
O0B10Y07.1003,"J'ai dit, allez !
"
O0B10Y07.1004,"Félicitations, %pcf.
Tu entendras parler de nous
dans pas longtemps.
"
O0B10Y07.1005,"%t %rn est manifestement fier de son nouveau _jewelry_. Tout le monde veut le voir.
<--->
La sécurité est renforcée à _palace_, apparemment à cause du nouveau _jewelry_."
O0B10Y07.1006,"Les hommes de %t prévoient de récupérer le _jewelry_ après la tentative de cambriolage manquée.
<--->
La Guilde des Voleurs n'aurait pas dû rater une telle opportunité d'obtenir le _jewelry_."
O0B10Y07.1007,"La Guilde des Voleurs devient joliment audacieuse, en volant directement %t.
<--->
La Guilde des Voleurs a réussi à cacher l'identité du cambrioleur de _palace_."
O0B10Y07.1010,"%qdt :
 Pour gagner de l'influence dans la Guilde
 des voleurs, j'ai accepté de pénétrer par
 effraction dans _palace_, le
 palais de %t à __palace_
 et de voler le nouveau _jewelry_ de
 %t. J'ai =2palace_ jours pour placer le
 _jewelry_ dans les mains de _qgiver_
 à ___qgiver_.
"
O0B10Y07.1015,"Vous avez le _jewelry_ que
vous avait envoyé récupérer.
"
O0B10Y07.1020,"Ceci doit être l'objet !
<--->
"
O0B20Y02.1000,"Baissez la voix. Mon nom est...
euh, appelez-moi simplement
_qgiver_. J'ai un
boulot de la guilde pour vous.
Paiement standard. Ca vous
intéresse d'en savoir plus ?
"
O0B20Y02.1001,"Heureusement que je ne vous ai donné
aucun détail. Maintenant sortez d'ici.
"
O0B20Y02.1002,"Vous devez voler le _magicitem_
de _mansion_ à __mansion_.
Vous avez =traveltime_ jours pour le faire
ou le marché est rompu. Vous ai-je
dit que l'endroit était gardé ?
J'aurais pourtant juré l'avoir dit...
"
O0B20Y02.1004,"Vous avez la marchandise ? Ah ! Bien joué.
La récompense standard pour ce boulot est
_gold_ pièces d'or. Ne depensez pas tout
au même endroit.
"
O0B20Y02.1005,"_mansion_ à __mansion_ a une importante collection d'objets magiques exotiques."
O0B20Y02.1006,"Ils ont enlevé le _magicitem_ du _mansion_ pour une question de sécurité."
O0B20Y02.1007,"Ce _magicitem_ a été volé à _mansion_. C'est un vrai scandale."
O0B20Y02.1008,"Surpris de me voir, %pcf ? Vous pensiez que j'aurais fui avec le _magicitem_, peut-être ?"
O0B20Y02.1009,"Ils ont déjà déplacé le _magicitem_
de _mansion_, %pcf. Autrement
dit, vous avez échoué.
Maintenant, partez.
"
O0B20Y02.1010,"%qdt :
 _qgiver_, (enfin %g s'appelle
 %g2-même ainsi) de la guilde m'a engagé
 pour voler le _magicitem_ de
 _mansion_ dans __mansion_.
 J'ai =traveltime_ jours pour le lui ramener
 à __qgiver_ dans ___qgiver_.
<--->
"
O0B2XY04.1000,"J'ai un boulot. Travail ordinaire de la
guilde. Valant _gold_ pièces d'or. Juste la
récompense classique de la guilde. Interessé ?
"
O0B2XY04.1001,"Pas trop bon pour vous, %pcn.
"
O0B2XY04.1002,"Allez à __mansion_.
Trouvez _mansion_.
Il y a un livre rare à l'intérieur, intitule
_book_. Ramenez-le-moi
en moins de =traveltime_ jours, et je
vous paierai. Plutôt simple, hein ?
"
O0B2XY04.1004,"Ah. %oth. Voilà votre récompense
de la guilde. Peut-être qu'un jour nous
travaillerons de nouveau ensemble.
"
O0B2XY04.1005,"Un collectionneur de __mansion_ vient d'acheter un rare exemplaire de _book_."
O0B2XY04.1006,"La sécurité à _mansion_ n'était pas très bien assurée, alors ils ont déplacé les objets de valeur."
O0B2XY04.1007,"Cet exemplaire de _book_ qui a été volé à _mansion_ était irremplaçable."
O0B2XY04.1008,"Oh, salut, %pcf. Bon travail pour le livre, si je ne vous l'avais pas déjà dit."
O0B2XY04.1009,"Ne cherchez pas d'excuses, %pcf.
Je vous ai dit où trouver le livre et de vous
depêcher, mais vous ne l'avez pas fait.
Maintenant c'est trop tard, et je suis fatigué.
Alors, soyez un bon %ra et foutez le
camp, voulez-vous ?
"
O0B2XY04.1010,"%qdt :
 Un membre de la Guilde des Voleurs de
 ___qgiver_ m'a offert comme travail
 de voler un livre, _book_
 de _mansion_ à
 __mansion_. J'ai
 =traveltime_ jours pour le prendre
 et le donner à _qgiver_.
<--->
"
O0B2XY08.1000,"_qgiver_ est mon nom.
Ceci un peu délicat, %pcf.
J'ai _gold_ pièces d'or pour vous si vous
volez un peu de _drugs_ pour moi.
Je suppose que vous savez ce qu'est du
_drugs_ ? C'est une plante qui rend
très dépendant. Vous voulez ce travail ?
"
O0B2XY08.1001,"Si vous dites un mot sur ce
boulot, vous savez qui j'irai
chercher, %pcn.
"
O0B2XY08.1002,"Allez à __mansion_.
Trouvez _mansion_.
Volez du _drugs_.
Ramenez-en moi, en moins de =traveltime_ jours,
et vous serez payé.
"
O0B2XY08.1004,"Mettez ça dans ma poche.
Bien. Je ne pense pas que quelqu'un
vous ait vu faire. Voilà vos _gold_ pièces
d'or, %pcn.
"
O0B2XY08.1005,"Tout le monde se demande d'ou provient le trafic de _drugs_ à __mansion_."
O0B2XY08.1006,"Il y avait un trafiquant de _drugs_ qui vivait à _mansion_ dans __mansion_, mais il est parti."
O0B2XY08.1007,"_mansion_ à __mansion_ a été cambriolé, mais le propriétaire ne va pas porter plainte."
O0B2XY08.1008,"Soyez tranquille, %pcf. Le trafic de _drugs_ est toujours d'actualité."
O0B2XY08.1009,"%oth, %pcf. Je pensais que
je pouvais vous faire confiance pour me
ramener du _drugs_. Apparemment, si vous
voulez qu'un boulot soit bien fait, tuez
d'abord le %ra qui le fait.
Allez en Oblivion, gamin.
"
O0B2XY08.1010,"%qdt :
 _qgiver_ de la Guilde des
 Voleurs de ___qgiver_
 me paiera pour voler du _drugs_
 à _mansion_ dans
 __mansion_.
 Je dois lui en ramener dans =traveltime_ jours
 pour avoir mon argent.
<--->
"
O0B2XY09.1000,"Vous pouvez m'appeler _qgiver_.
J'ai eu vent d'une sorte de _coastal_
qu'un cochon de marchand vient
d'acheter. Je veux que vous le fauchiez
et le rameniez ici. Je vous paierai _gold_ pièces
d'or. Etes-vous intéressé ?
"
O0B2XY09.1001,"Partez %pcn.
Je dois trouver un voleur
digne de ce nom.
"
O0B2XY09.1002,"Dans __mansion_ allez à
_mansion_. Cela ne devrait pas
être si dur de trouver le _coastal_.
Ramenez-le-moi dans =traveltime_ jours,
et je vous paierai. Aucune
question ? Bien.
"
O0B2XY09.1004,"Oh oh ! Cette marchandise est
mieux que je l'aurais pensé.
Voilà vos _gold_ pièces d'or
%pcn. Ne dépensez pas
tout en alcool ou dans le vice.
"
O0B2XY09.1005,"Une nouvelle expédition de _coastal_ a eu lieu à __mansion_. Personne ne sait exactement où."
O0B2XY09.1006,"Quelqu'un a dû trouver le _coastal_ à __mansion_. Ils l'expédient encore ailleurs."
O0B2XY09.1007,"Il se trouve qu'on a découvert où ils gardaient le _coastal_ qui a été dérobé l'autre jour."
O0B2XY09.1008,"Maintenant, vous n'êtes pas en train de tout dépenser dans l'alcool ou le vice, hein, %pcf ?"
O0B2XY09.1009,"Que voulez-vous ? Je vous ai dit où
trouver le _coastal_, mais vous avez
escroqué de tous les côtés et ça n'a en
rien aidé. Dégagez, %pcf,
vous me donnez mal au crâne.
"
O0B2XY09.1010,"%qdt :
 _qgiver_ de la
 Guilde des Voleurs m'a recruté
 pour voler un certain _coastal_
 à _mansion_ dans
 __mansion_. Je dois le
 ramener à __qgiver_
 à ___qgiver_ en =traveltime_ jours
 pour avoir mon paiement.
<--->
"
O0B2XY10.1000,"%pcn, mon nom est
_qgiver_. J'ai une vue sur
du _potion_. J'ai besoin
de quelqu'un pour en voler pour
moi. Je vous paierai _gold_ pièces
d'or pour le faire. Qu'en dites-vous ?
"
O0B2XY10.1001,"Faites-le moi savoir quand vous voudrez
un vrai travail, %pcn.
"
O0B2XY10.1002,"A _alchemyshop_ dans
__alchemyshop_, vous
trouverez un _potion_. Prenez-le
et ramenez-le-moi dans =traveltime_ jours,
et je vous paierai. Ce n'est pas très
difficile quand-même, non ?
"
O0B2XY10.1004,"Pas mal, %pcn. Voilà
vos _gold_ pièces d'or.
"
O0B2XY10.1005,"_alchemyshop_ a certains des meilleurs ingrédients de __alchemyshop_.
<--->
Si vous voulez un peu de tout, allez à _alchemyshop_ dans __alchemyshop_."
O0B2XY10.1006,"Il y avait un _potion_ rare à _alchemyshop_, mais il est maintenant en un lieu plus sur maintenant."
O0B2XY10.1007,"Quelqu'un a volé une bouteille de _potion_ à _alchemyshop_. Quel culot !"
O0B2XY10.1008,"Oui, je me souviens de vous, %pcf. Le _potion_, exact ?"
O0B2XY10.1009,"Ne me parlez pas. Vous avez fait le chemin
jusqu'à _alchemyshop_, trouvé le
_potion_, et vous l'avez bu par erreur,
c'est ça ? %oth, un autre
voleur, toujours la même vieille histoire.
"
O0B2XY10.1010,"%qdt :
 _qgiver_, un membre de la Guilde
 des Voleurs de ___qgiver_ m'a offert
 comme boulot de voler du _potion_ de
 _alchemyshop_ a
 __alchemyshop_. J'ai
 =traveltime_ jours pour le lui ramener.
<--->
"
P0A01L00.1000,"Cher %pcn,
 
    Depuis quelques temps, nous te surveillons. En fait,
 nous te surveillons depuis que la ""bénédiction"" du 
 vampirisme t'a été accordée. Tu as vécu des moments
 déconcertants et difficiles, mais nous ne sommes
 pas mécontents du vampire que tu es devenu.
    Le temps est venu pour toi de connaître ton
 héritage, la fière lignée des %vam,
 la plus grande des lignées de vampires. Pour
 nous prouver ta loyauté, cependant, nous te
 demandons un sacrifice.
     Il est, près d'ici, un lieu hanté par un membre d'une
 lignée moins noble. Rend toi à cet endroit, 
 nomme ___mondung_, et tue =monster_,
 cette misérable insulte à notre race. Quand tu
 aura accompli cet acte, va à __questgiver_ en
 ___questgiver_ et trouve-moi. On me reconnaît
 aisément : je ressemble à un =questgiver_.
     J'attendrais =1stparton_ jours,
 %pcf. Ce délai passé, je m'en irai.
 J'espère que nous ne nous manquerons pas.
 
 _questgiver_
"
P0A01L00.1001,"Error: Questtext 1001 Called!"
P0A01L00.1002,"Error: Questtext 1002 Called!"
P0A01L00.1003,"Ecoute, je ne veux pas être dur,
mais j'attend quelqu'un.
Alors, fiche-le camp.
"
P0A01L00.1004,"Excellent, %pcf. Tu feras un
bon membre des %vam. Bienvenue
dans la famille. On me connaît sous
le nom de _questgiver_.
Les %vam continueront de surveiller
ta progression, et nous te contacterons
sans doute de temps en temps pour des
affaires de familles.
Voici un anneau qui fait de toi un des nôtres.
"
P0A01L00.1005,"On dit que ___mondung_ est de nouveau habité par quelqu'un, ou quelque chose.
<--->
Il y a de mystérieux =questgiver_ en __questgiver_."
P0A01L00.1006,"%god soit loué, ce mystérieux =questgiver_ a quitté __questgiver_.
<--->
Il semblerait que ___mondung_ ait de nouveau été déserté."
P0A01L00.1007,"Beaucoup de gens se demandent ce qui a pu tuer un _monster_.
<--->
Je me demande si ce  _monster_ a été tué par quelque chose de pire que lui."
P0A01L00.1008,"Error: Questtext 1008 Called. Not sposed to be."
P0A01L00.1009,"Error: Questtext 1009 Called. Not sposed to be."
P0A01L00.1010,"_questgiver_? Jamais entendu parler ! %g vit dans le coin ?"
P0A01L00.1011,"Ce =questgiver_ est le mentor d'une lignée de vampires, les %vam.
<--->
_questgiver_ est un membre fier et efficace de la lignée des %vam."
